Sector,Climate And Business Need,Solutions,Market Maturity,Market Maturity Number,Business Model,Type,SeedYN,GrantYN,SeriesX,Total Non-Equity Funding,Total Funding Amount (in USD),Total Equity Funding Amount (in USD),Funding Rank,Series Rank,Seed Rank,Scale Rank
Energy Generation,Solar,Solar Hardware and PV Materials,Mature Market,34,Hardware,Mitigation,2,0,14,228578766,985334689,756755923,9,7,2,5
Energy Generation,Solar,Solar Planning and Design Software,Market Scale,21,Software,Mitigation,3,1,6,1320405,548357217,547036812,9,5,3,5
Energy Generation,Solar,"Residential Solar and ""as-a-Service""",Mature Market,34,Service,Mitigation,2,0,6,3820242361,5501953202,1681710841,10,5,2,5
Energy Generation,Solar,"Sales, Design, Management for Solar Installers",Early Market,13,Software,Mitigation,3,0,3,83297000,1205083499,1121786499,10,3,3,4
Energy Generation,Solar,Floating PV,Market Scale,21,Hardware,Mitigation,1,0,2,1132352,31386703,30254351,3,2,1,2
Energy Generation,Solar,Agrivoltaics,Market Scale,21,Hardware,Mitigation,1,0,2,76958553,119092602,42134049,5,2,1,2
Energy Generation,Solar,Solar PV Recycling,Early Market,13,Hardware,Mitigation,1,0,2,3783134,51384843,47601709,4,2,1,2
Energy Generation,Solar,Community Solar,Mature Market,34,Service,Mitigation,1,1,3,840000000,1800570274,954470274,10,3,1,4
Energy Generation,Solar,Multi-Tenant Solar and Virtual Billing,Early Market,13,HW/SW,Mitigation,,,,,,,3,2,1,2
Energy Generation,Solar,Building-Integrated PV and Novel Solar Designs,Early Market,13,Hardware,Mitigation,2,0,4,9526890,93749202,82189725,5,4,2,3
Energy Generation,Solar,Space-based solar power (SBSP),Research,1,Hardware,Mitigation,2,1,0,0,2250000,250000,1,1,2,1
Energy Generation,Wind,On-shore Wind,Mature Market,34,Hardware,Mitigation,1,0,2,14470700,35306355,20760655,3,2,1,2
Energy Generation,Wind,Off-shore and Floating Wind,Mature Market,34,Hardware,Mitigation,2,0,2,305617,73305087,72999470,4,2,2,2
Energy Generation,Wind,"Novel Wind, Including Vertical Axis and Kites",Pilot,3,Hardware,Mitigation,2,3,5,9769410,56480870,44859169,4,5,2,3
Energy Generation,Wind,Wind Farm Planning and Optimization,Early Market,13,Software,Mitigation,3,0,3,703147,292426566,291723419,7,3,3,3
Energy Generation,Wind,Wind Farm Maintenance and Inspection,Early Market,13,HW/SW,Mitigation,1,3,5,6205221,91530205,81729310,5,5,1,3
Energy Generation,Wind,"Blade Decommissioning, Refurb and Recycling",Commercial,8,Hardware,Mitigation,0,0,1,0,6500000,6500000,1,1,1,1
Energy Generation,Nuclear,Advanced Nuclear Fission and Modular / Microreactors,Pilot,3,Hardware,Mitigation,0,3,8,66263888,1675937468,1607962877,10,7,1,5
Energy Generation,Nuclear,Nuclear Fusion,Research,1,Hardware,Mitigation,3,4,7,105445160,4631089864,4525644704,10,6,3,5
Energy Generation,Geothermal,Enhanced Geothermal Systems (EGS),Commercial,8,Hardware,Mitigation,0,0,3,0,511499991,511499991,8,3,1,4
Energy Generation,Geothermal,Advanced Geothermal Systems (AGS),Commercial,8,Hardware,Mitigation,0,1,3,253899557,578694283,324794726,9,3,1,4
Energy Generation,Geothermal,Supercritical Geothermal,Pilot,3,Hardware,Mitigation,0,0,2,0,108000000,108000000,5,2,1,2
Energy Generation,Geothermal,"Geothermal Siting, Planning and Development",Commercial,8,Software,Mitigation,0,0,1,50710229,88210229,37500000,5,1,1,2
Energy Generation,Hydrogen,Electrolyser Systems (Membrane and Alkaline),Market Scale,21,Hardware,Mitigation,4,1,6,75351966,754556588,679204622,9,5,4,5
Energy Generation,Hydrogen,Electrolyser Components (Membrane and Alkaline),Market Scale,21,Hardware,Mitigation,4,1,4,395410196,1164450444,769040248,10,4,4,5
Energy Generation,Hydrogen,Solid Oxide Electrolysers (SOEC) and Membrane-Free,Early Market,13,Hardware,Mitigation,1,1,4,510385616,1159294098,648858482,10,4,1,5
Energy Generation,Hydrogen,Green Hydrogen via Methane Pyrolysis,Commercial,8,Hardware,Mitigation,2,2,5,22055735,254772066,232716331,7,5,2,4
Energy Generation,Hydrogen,"Green Hydrogen from Biomass, Waste and Recyclates",Pilot,3,Hardware,Mitigation,2,2,1,300000,6677848,4177848,1,1,2,1
Energy Generation,Hydrogen,Green Hydrogen Developers / Operators,Market Scale,21,Hardware,Mitigation,0,1,1,515400000,1800538987,1285138987,10,1,1,4
Energy Generation,Hydrogen,Hydrogen Mining / Geologic Hydrogen,Pilot,3,Hardware,Mitigation,0,0,2,30000000,336399925,306399925,7,2,1,3
Energy Generation,Hydrogen,Hydrogen Project Software,Commercial,8,Software,Mitigation,3,0,0,0,2272891,2272891,1,1,3,1
Energy Generation,Hydrogen,Hydrogen Storage and Distribution,Early Market,13,Hardware,Mitigation,3,2,5,181411596,866931990,683820394,9,5,3,5
Energy Generation,Hydrogen,Fuel Cells,Market Scale,21,Hardware,Mitigation,1,2,6,47744884,382680256,304735372,8,5,1,4
Energy Generation,Alternative Fuels,MSW / Biomass Gasification,Market Scale,21,Hardware,Mitigation,0,2,2,260208984,1241200596,976766612,10,2,1,4
Energy Generation,Alternative Fuels,SAF and Fuels via Fischer-Tropsch,Early Market,13,Hardware,Mitigation,2,0,4,9409514,565498196,556088682,9,4,2,4
Energy Generation,Alternative Fuels,"Cellulosic Ethanol, Biofuel and SAF with 2nd Gen Biomass",Early Market,13,Hardware,Mitigation,4,2,3,11552986,445482409,433929423,8,3,4,4
Energy Generation,Alternative Fuels,Alcohol-to-Jet (ATJ) SAF,Commercial,8,Hardware,Mitigation,0,0,0,114000000,214000000,100000000,6,1,1,2
Energy Generation,Alternative Fuels,Electrochemical Power-to-Liquids (PtL),Commercial,8,Hardware,Mitigation,0,1,4,3761398,139941059,130720280,5,4,1,3
Energy Generation,Alternative Fuels,Synbio and Biocatalytic Fuels,Commercial,8,Hardware,Mitigation,1,0,2,2715253,104650933,101935680,5,2,1,2
Energy Generation,Alternative Fuels,Green Ammonia,Commercial,8,Hardware,Mitigation,3,0,4,3309579,268487324,265177745,7,4,3,4
Energy Generation,Alternative Fuels,Green Methanol,Commercial,8,Hardware,Mitigation,5,0,3,1680426,116361257,112523331,5,3,5,3
Energy Generation,Alternative Fuels,Algea-based Fuel,Commercial,8,Hardware,Mitigation,1,0,1,2000000,202000001,200000001,6,1,1,2
Energy Generation,Waste To Energy,Waste to Energy (WtE) and Renewable Natural Gas (RNG),Market Scale,21,Hardware,Mitigation,2,2,2,354472101,3238318543,370733788,10,2,2,4
Energy Generation,Waste To Energy,Anaerobic Digestion (AD),Market Scale,21,Hardware,Mitigation,0,1,3,101972442,481447281,370474839,8,3,1,4
Energy Generation,Waste To Energy,Hydrothermal Carbonization (HTC),Early Market,13,Hardware,Mitigation,0,0,0,0,0,0,1,1,1,1
Energy Generation,Waste To Energy,Catalytic Hydrothermal Gasification (HTG) and Liquifaction (HTL),Commercial,8,Hardware,Mitigation,0,0,1,8457573,18513428,10055855,2,1,1,1
Energy Generation,Waste To Energy,Bioenergy Planning and Monitoring Software,Commercial,8,Software,Mitigation,0,0,1,0,300000,300000,1,1,1,1
Energy Generation,Hydropower,Distributed Hydro Power,Early Market,13,Hardware,Mitigation,0,0,3,24004825,192484560,168479735,6,3,1,3
Energy Generation,Hydropower,Osmotic Power,Commercial,8,Hardware,Mitigation,0,0,1,0,33291069,33291069,3,1,1,1
Energy Generation,Hydropower,"Tidal, Wave-Based and Ocean Thermal Power",Early Market,13,Hardware,Mitigation,1,2,4,39746755,166129952,118458197,6,4,1,3
Energy Generation,Renewables Management And Maintenance,"RE Procurement, Planning and Investment Analytics",Market Scale,21,Software,Mitigation,6,0,5,15081868,182178469,167096601,6,5,6,4
Energy Generation,Renewables Management And Maintenance,Local Energy Emissions Analytics and 24/7 RE Enablement,Commercial,8,Software,Mitigation,0,0,3,0,48598660,48598660,3,3,1,2
Energy Generation,Renewables Management And Maintenance,Renewable Project Development,Mature Market,34,Service,Mitigation,0,0,2,241303000,2406136930,1201150000,10,2,1,4
Energy Generation,Renewables Management And Maintenance,Renewable Portfolio Developers and Owners,Mature Market,34,Service,Mitigation,0,0,3,13994577839,15147089035,1152511196,10,3,1,4
Energy Generation,Renewables Management And Maintenance,Asset Inspection and Maintenance Robotics,Early Market,13,HW/SW,Hybrid,2,0,3,2402500,179376613,176974113,6,3,2,3
Energy Generation,Renewables Management And Maintenance,RE Asset Portfolio Planning and Management,Early Market,13,Software,Mitigation,6,1,4,33867239,242613024,208745785,7,4,6,4
Energy Generation,Renewables Management And Maintenance,Renewable Asset Operations and Optimization,Market Scale,21,Software,Mitigation,7,1,1,174736936,445954581,271217645,8,1,6,3
Energy Generation,Renewables Management And Maintenance,Storage Developer / Operators,Market Scale,21,Service,Mitigation,0,1,4,1752246808,4012298575,1932951767,10,4,1,5
Energy Generation,Energy Marketplaces,Retail and Commercial Energy Providers,Mature Market,34,Software,Mitigation,2,0,6,51856944,489476647,437619703,8,5,2,4
Energy Storage and Distribution,Battery Storage And Components,Stationary Battery Energy Storage Systems (BESS),Market Scale,21,Hardware,Mitigation,2,0,3,106277718,850374196,744096478,9,3,2,4
Energy Storage and Distribution,Battery Storage And Components,Mobile BESS and Commercial Backup Power,Early Market,13,Hardware,Mitigation,3,0,6,99814011,621610596,521796585,9,5,3,5
Energy Storage and Distribution,Battery Storage And Components,Battery Manufacturing,Mature Market,34,Hardware,Mitigation,3,5,5,12390086456,19615610880,7225524424,10,5,3,5
Energy Storage and Distribution,Battery Storage And Components,"Cell Materials, Components (Anode, Cathode, Electrolyte, Charger)",Market Scale,21,Hardware,Mitigation,4,5,15,1461992438,4096280641,2498066202,10,7,4,5
Energy Storage and Distribution,Battery Storage And Components,"Battery Management, Optimization, Analytics and Design",Early Market,13,Software,Mitigation,7,2,10,64529931,478752988,414010427,8,7,6,5
Energy Storage and Distribution,Battery Storage And Components,Sodium-Ion Batteries and Novel Battery Materials,Early Market,13,Hardware,Mitigation,2,0,4,19555402,373204159,353648757,8,4,2,4
Energy Storage and Distribution,Battery Storage And Components,Residential Batteries,Market Scale,21,Hardware,Hybrid,1,0,4,0,918200000,918200000,9,4,1,4
Energy Storage and Distribution,Battery Storage And Components,Solid State Battery Storage,Early Market,13,Hardware,Mitigation,4,3,4,21671263,2358032687,2336361424,10,4,4,5
Energy Storage and Distribution,Battery Storage And Components,Capacitors and Super- / Ultracapacitors,Early Market,13,Hardware,Mitigation,3,0,2,80372453,375697676,295325223,8,2,3,3
